District,Town,Date,Count
North Goa,Arpora,2020-07-13,0
North Goa,Bambolim,2020-07-13,1
North Goa,Batim,2020-07-13,3
South Goa,Benaulim,2020-07-13,2
South Goa,Betalbatim,2020-07-13,1
North Goa,Betim,2020-07-13,0
North Goa,Bicholim,2020-07-13,8
North Goa,Calangute,2020-07-13,0
North Goa,"Camrabhat, Tonca",2020-07-13,6
North Goa,Camurlim,2020-07-13,1
South Goa,Canacona,2020-07-13,8
North Goa,Candolim,2020-07-13,1
North Goa,Cansarvarnem,2020-07-13,0
South Goa,Cansaulim,2020-07-13,0
North Goa,Carambolim,2020-07-13,5
North Goa,Caranzalem,2020-07-13,1
North Goa,Chimbel,2020-07-13,0
North Goa,Chimbel – Gavlebhat,2020-07-13,0
North Goa,Chimbel – Indiranagar,2020-07-13,37
South Goa,Chinchinim,2020-07-13,1
South Goa,Colva,2020-07-13,1
North Goa,Colvale,2020-07-13,0
North Goa,Consua,2020-07-13,0
North Goa,Corlim,2020-07-13,1
South Goa,Cortalim,2020-07-13,1
South Goa,Cuncolim,2020-07-13,28
North Goa,Curca / Shankarwadi,2020-07-13,4
South Goa,Curchorem,2020-07-13,3
South Goa,Curtorim,2020-07-13,2
North Goa,Dharbandora,2020-07-13,22
North Goa,Dona Paula,2020-07-13,0
South Goa,Fatorda,2020-07-13,4
North Goa,Goa Velha,2020-07-13,5
North Goa,Guirim,2020-07-13,
North Goa,Khandola,2020-07-13,39
North Goa,Kumbharjua,2020-07-13,1
North Goa,Kundaim,2020-07-13,1
South Goa,Loutolim,2020-07-13,28
North Goa,Mandur,2020-07-13,8
South Goa,Mangor Hill,2020-07-13,76
South Goa,Mangor Hill – Linked To,2020-07-13,297
North Goa,Mapusa,2020-07-13,11
North Goa,Marcaim,2020-07-13,3
North Goa,Marcel,2020-07-13,2
North Goa,Mardol,2020-07-13,1
South Goa,Margao,2020-07-13,10
South Goa,Margao – Moti Dongor,2020-07-13,7
North Goa,Merces,2020-07-13,0
South Goa,Navelim,2020-07-13,7
North Goa,Nerul,2020-07-13,23
North Goa,Neura,2020-07-13,7
South Goa,Nuvem,2020-07-13,1
North Goa,Old Goa,2020-07-13,0
North Goa,Panaji,2020-07-13,1
North Goa,"Parra, Mapusa",2020-07-13,1
North Goa,Pernem,2020-07-13,6
North Goa,Pilar,2020-07-13,2
North Goa,Ponda,2020-07-13,36
North Goa,Porvorim,2020-07-13,3
